,SAP_ProductID,LongDescr,Manufacturer,,,,,,,
WIT,,,Manufacturer,,,,,,,
7K5000-390,7K5000-390.WH1129N,7K5000-390.WH1129N,,,,,,,,
7K5002-390,7K5002-390.WH1730N,7K5002-390.WH1730N,,,,,,,,
SR BATHING,DTC_CUSTOM,SR Bathing for CC Entry,,,,,,,,
STMX,STMX,Temperature Control Valve,,,,,,,,
2848D09CLL,2848.D09.CLL,2848.D09.ComboLeftLinen,ASHS,,,,,,,
2848D09CLW,2848.D09.CLW,2848.D09.ComboLeftWhite,ASHS,,,,,,,
2848D09CRL,2848.D09.CRL,2848.D09.ComboRightLinen,ASHS,,,,,,,
2848D09CRW,2848.D09.CRW,2848.D09.ComboRightWhite,ASHS,,,, ,,,
2848D1ACLL,2848.D1A.CLL,2848.D1A.Combo Left Linen,ASHS,,,,,,,
2848D1ACLW, 2848.D1A.CLW,2848.D1A.Combo Left White,ASHS,,,,,,,
2848D1ACRL,DTC_CUSTOM,2848.D1A.Combo Right Lin,ASHS,,,,,,,
2848D1ACRW,2848D1ACRW,2848.D1A.Combo Right Wht,ASHS,,,,,,,
2848D1BSLL,2848.D1B.SLL,2848.D1B.Soaker Left LN,ASHS,,,,,,,
2848D1BSLW,2848.D1B.SLW,2848.D1B.Soaker Left Whit,ASHS,,,,,,,
2848D1BSRL,2848.D1B.SRL,2848.D1B.Soaker Right LN,ASHS,,,,,,,
2848D1BSRW,2848.D1B.SRW,2848.D1B.Soaker Right Wht,ASHS,,,,,,,
3051D1ACLL,3051.D1A.CLL,3051.D1A.Combo Left Linen,ASHS,,,,,,,
3051D1ACLW,3051.D1A.CLW,3051.D1A.Combo Left White,ASHS,,,,,,,
3051D1ACRL,3051.D1A.CRL,3051.D1A.Combo Right Lin,ASHS,,,,,,,
3051D1ACRW,3051.D1A.CRW,3051.D1A.Combo Right Wht,ASHS,,,,,,,
3051D1BSLL,3051.D1B.SLL,3051.D1B.Soaker Left Lin,ASHS,,,,,,,
3051D1BSLW,3051.D1B.SLW,3051.D1B.Soaker Left Wht,ASHS,,,,,,,
3051D1BSRL,3051.D1B.SRL,3051.D1B.Soaker Right Lin,ASHS,,,,,,,
3051D1BSRW,3051.D1B.SRW,3051.D1B.Soaker Right Wht,ASHS,,,,,,,
3052D09CLL,3052.D09.CLL,3052.D09.ComboLeftLinen,ASHS,,,,,,,
3052D09CLW,3052.D09.CLW,3052.D09.ComboLeftWhite,ASHS,,,,,,,
3052D09CRL,3052.D09.CRL,3052.D09.ComboRightLinen,ASHS,,,,,,,
3052D09CRW,3052.D09.CRW,3052.D09.ComboRightWhite,ASHS,,,,,,,
3052OD9CLL,3052OD.D09.CLL-PC,3052OD.D09.ComboLftLN-PC,ASHS,,,,,,,
3052OD9CLW,3052OD.D09.CLW-PC,3052OD.D09.ComboLftWH-PC,ASHS,,,,,,,
3052OD9CRL,3052OD.D09.CRL-PC,3052OD.D09.ComboRghtLN-PC,ASHS,,,,,,,
3052OD9CRW,3052OD.D09.CRW-PC,3052OD.D09.ComboRhtWH-PC,ASHS,,,,,,,
3052ODD09SLW,3052OD.D09.SLW-PC,GEL OOD 3052 LH SOAKER,ASHS,,,,,,,
3052ODD09SRW,3052OD.D09.SRW-PC,GEL OOD 3052 RH SOAKER,ASHS,,,,,,,
3052ODCLL,3052OD.D0A.CLL,3052OD.D0A.Combo Left LN,ASHS,,,,,,,
3052ODCLW,3052OD.D0A.CLW,3052OD.D0A.Combo Left White,ASHS,,,,,,,
3052ODCRL,3052OD.D0A.CRL,3052OD.D0A.Combo Right LN,ASHS,,,,,,,
3052ODCRW,3052OD.D0A.CRW,3052OD.D0A.Combo Right WH,ASHS,,,,,,,
3252OD9CLL,3252OD.D09.CLL-PC,252OD.D09.ComboLftLN-PC,ASHS,,,,,,,
3252OD9CLW,3252OD.D09.CLW-PC,30252OD.D09.ComboLftWH-PC,ASHS,,,,,,,
3252OD9CRL,3252OD.D09.CRL-PC,3252OD.D09.ComboRtLN-PC,ASHS,,,,,,,
3252OD9CRW,3252OD.D09.CRW-PC,3252OD.D09.ComboRtWH-PC,ASHS,,,,,,,
3252ODD09SLW,3252OD.D09.SLW-PC,GEL OOD 3252 LH SOAKER,ASHS,,,,,,,
3252ODD09SRW,3252OD.D09.SRW-PC,GEL OOD 3252 RH SOAKER,ASHS,,,,,,,
3252ODCLL,3252OD.D0A.CLL,3252OD.D0A.Combo Left LN,ASHS,,,,,,,
3252ODCLW,3252OD.D0A.CLW,3252OD.D0A.Combo Left WH,ASHS,,,,,,,
3252ODCRL,3252OD.D0A.CRL,3252.D0A.Combo Right LN,ASHS,,,,,,,
3252ODCRW,3252OD.D0A.CRW,3252OD.D0A.Combo Right WH,ASHS,,,,,,,
3260D1ACLL,3260.D1A.CLL,3260.D1A.Combo Left Lin,ASHS,,,,,,,
3260D1ACLW,3260.D1A.CLW,3260.D1A.Combo Left Wht,ASHS,,,,,,,
3260D1ACRL,3260.D1A.CRL,3260.D1A.Combo Right Lin,ASHS,,,,,,,
3260D1ACRW,3260.D1A.CRW,3260.D1A.Combo Right Wht,ASHS,,,,,,,
