code,description,price,page
3407A101.020,250AA809.020 4408A809.020 3407A101.020,4408.0,132
3407A101.020,250AA808.020 4408A808.020 3407A101.020,4408.0,132
3408A100.020,251AA809.020 4408A809.020 3408A100.020,4408.0,132
3408A100.020,251AA808.020 4408A808.020 3408A100.020,4408.0,132
4188A105.020,215TA105.020 4188A105.020,4188.0,133
4188B104.020,215TB104.020 4188B104.020,4188.0,133
4000709,215AA709 3517A101 4000709,3517.0,134
4000769,215AA769 3517A101 4000769,3517.0,134
3437A101.020,250AA104.020 4425A104.020 3437A101.020,4425.0,135
3437Al0l.020,250AA105.020 4425A105.020 3437Al0l.020,4425.0,135
3437Al0l.020,250AA004.020 4425A004.020 3437Al0l.020,4425.0,135
3437Al0l.020,250AB104.020 4425B104.020 3437Al0l.020,4425.0,135
3437Bl0l.020,250BA104.020 4425A104.020 3437Bl0l.020,4425.0,135
3437Bl0l.020,250BA105.020 4425A105.020 3437Bl0l.020,4425.0,135
3437Bl0l.020,250BA154.020 4425A154.020 3437Bl0l.020,4425.0,135
3437Bl0l.020,250BA004.020 4425A004.020 3437Bl0l.020,4425.0,135
3437Bl0l.020,250BB104.020 4425B104.020 3437Bl0l.020,4425.0,135
3437B101.020,250CA104.020 4425A104.020 3437B101.020,4425.0,135
3437C101.020,250CA004020 4425A004.020 3437C101.020,250.0,135
3437C101.020,250CB104.020 4425A104.020 3437C101.020,4425.0,135
3437D101.020,250DA104.020 4425A104.020 3437D101.020,4425.0,135
3437D101.020,250DA004.020 4425A004.020 3437D101.020,4425.0,135
3437D101.020,250DB104.020 4425B104.020 3437D101.020,4425.0,135
2891,Boulevard® 2891 ✔ ✔ ✔ ✔ ✔ ✔ ✔,2891.0,221
"2034 /
2004","2034 /
2004 ✔ ✔ ✔ — — —",2034.0,221
2961A,Colony® 2961A ✔ ✔ ✔ — — — —,2961.0,221
2403,2403 ✔ ✔ ✔ — — —,2403.0,221
2535,Loft® 2535 ✔ ✔ ✔ — — — —,2535.0,221
2851A,2851A ✔ ✔ ✔ ✔ ✔ ✔,2851.0,221
2922A,"Townsend®
VorMax® 2922A ✔ ✔ ✔ ✔ ✔ ✔ ✔",2922.0,221
2989,"Cadet® 3
Flowise
Concealed 2989 ✔ ✔ ✔ ✔ ✔ ✔ ✔",2989.0,221
2886,"HOption®
2
Siphonic 2886 ✔ ✔ ✔ ✔ ✔ ✔ ✔",2886.0,221
2794,2794 ✔ ✔ ✔ ✔ ✔ ✔,2794.0,221
2917,2917 ✔ ✔ ✔ ✔ ✔ ✔,2917.0,221
TU052740,Delancey Flash 2-Handle Integrated Shower Diverter Trim 1 TU052740,52740.0,286
TU052740,Delancey Flash 2-Handle Integrated Shower Diverter Trim 1 TU052740,52740.0,286
1660194,"12"" Wall-Mount Right Angle Rain Showerhead Arm 1 1660194",12.0,286
TU064740,Serin Flash 2-Handle Integrated Shower Diverter Trim 1 TU064740,64740.0,320
1660683,"10"" Modern Rain Showerhead 1 1660683",10.0,320
1660194,"12"" Wall-Mount Right Angle Shower Arm 1 1660194",12.0,320
TU064740,Serin Flash 2-Handle Integrated Shower Diverter Trim 1 TU064740,64740.0,320
1660683,"10"" Modern Rain Showerhead 1 1660683",10.0,320
1660194,"12"" Wall-Mount Right Angle Shower Arm 1 1660194",12.0,320
1660683,"10"" Modern Rain Showerhead 1 1660683 334",10.0,332
1660194,"12"" Wall-Mount Right Angle Shower Arm 1 1660194 120",12.0,332
1660683,"10"" Modern Rain Showerhead 1 1660683 334",10.0,332
1660194,"12"" Wall-Mount Right Angle Shower Arm 1 1660194 120",12.0,332
4931.002,"4931.002 002, 075 N/A",4931.0,400
7074,"7074 002, 075 N/A",7074.0,400
4279.300/400/701,"4279.300/400/701 002, 013, 075, 278 N/A",4279.3,400
4279.410,4279.410 Male,4279.41,400
4932,"4932 002, 075 N/A",4932.0,400
M922917,"70750XX Slim Plain, no finish N/A M922917 N/A N/A",70750.0,401
M922996,"7385XXX Regular Male 002, 295 M922901 066508 M922991 M922996",7385.0,401
20648XX,20648XX N/A N/A N/A N/A N/A N/A,20648.0,401
M922991,"7455XXX Regular Male 002, 013, 278, 295 M922901 N/A M922991 N/A",7455.0,401
M923845,"7353XXX Slim Plain, no finish N/A N/A M923845 N/A",7353.0,401
