source,colA,colC,colB
DOC_CA_PSKUs,,24in - Townsend - MB,
DOC_CA_PSKUs,,2nd Home Service Call,
DOC_CA_PSKUs,,Acrylic - Linen,
DOC_CA_PSKUs,,Acrylic - Roman Stone,
DOC_CA_PSKUs,,Acrylic - Silver Vein,
DOC_CA_PSKUs,,Acrylic - Vienna Mist,
DOC_CA_PSKUs,,Acrylic - White,
DOC_CA_PSKUs,,Additional Tub Extension Kit,
DOC_CA_PSKUs,,"Back Wall Shelf For Over 34"" Tub",
DOC_CA_PSKUs,,"Backsplash For Garden Tubs (Approx. 12"" High)",
DOC_CA_PSKUs,,Bidet Seat With GCFI Next to Toilet (Second Bidet),
DOC_CA_PSKUs,,Build Full Wall,
DOC_CA_PSKUs,,Build Pony Wall,
DOC_CA_PSKUs,,"Conduit - Exterior Panels, Condos w/No Attic/Crawlspace Access",
DOC_CA_PSKUs,,Custom 48in,
DOC_CA_PSKUs,,Custom A 30in 30X8,
DOC_CA_PSKUs,,Custom A 60in 30X8,
DOC_CA_PSKUs,,Custom B 60in 15X4,
DOC_CA_PSKUs,,Custom SS with Ramp,
DOC_CA_PSKUs,,"Electrical Panel Upgrade (Federal Pacific Stab Lok, Zinsco, GTE/Sylvania or Push Matic)",
DOC_CA_PSKUs,,"Enlarging Bathroom Door (Including 32"" Door and Frame)",
DOC_CA_PSKUs,,Furr Out Wall,
DOC_CA_PSKUs,,INCLUDED in Contract Price,
DOC_CA_PSKUs,,Installation,
DOC_CA_PSKUs,,Large Tile Repair,
DOC_CA_PSKUs,,Linen,
DOC_CA_PSKUs,,Mid-Size Tile Repair 11-24 sq. ft. (Customer To Furnish Tile),
DOC_CA_PSKUs,,Misc Additional Work,
DOC_CA_PSKUs,,NOT Included in Contract Price,
DOC_CA_PSKUs,,New Sub Panel,
DOC_CA_PSKUs,,New/Upgraded Electrical Service with Meter (Fuse Box),
DOC_CA_PSKUs,,Paint Ready Full Wall,
DOC_CA_PSKUs,,Project Notes,
DOC_CA_PSKUs,,Relocate Drain and/or Plumbing,
DOC_CA_PSKUs,,"Relocate Existing Electrical Switch, Outlet or Light",
DOC_CA_PSKUs,,Remove & Reinstall 3rd Door,
DOC_CA_PSKUs,,Remove and Reinstall Door and Frame,
DOC_CA_PSKUs,,Remove and Replace Existing Toilet,
DOC_CA_PSKUs,,Remove and Replace Vanity w/New or Same (Customer Provided),
DOC_CA_PSKUs,,Reverse Plumbing/Relocate Drain,
DOC_CA_PSKUs,,Roman Stone,
DOC_CA_PSKUs,,Safety Packager,
DOC_CA_PSKUs,,Shower Curtain and Rod,
DOC_CA_PSKUs,,Shower Depth,
DOC_CA_PSKUs,,Silver Vein,
DOC_CA_PSKUs,,Solid Surface - White Reef,
DOC_CA_PSKUs,,Solid Surface Back Shelf,
DOC_CA_PSKUs,,Spectra Plus Duo Legacy Bronze,
DOC_CA_PSKUs,,Spectra Plus Duo Matte Black,
DOC_CA_PSKUs,,Spectra Plus Duo Polished Chrome,
DOC_CA_PSKUs,,Spectra Versa Brushed Nickel,
DOC_CA_PSKUs,,Spectra Versa Legacy Bronze,
DOC_CA_PSKUs,,Spectra Versa Matte Black,
DOC_CA_PSKUs,,Spectra Versa Polished Chrome,
DOC_CA_PSKUs,,Standard Package,
DOC_CA_PSKUs,,Studio Oil Rubbed Bronze,
DOC_CA_PSKUs,,Studio Stainless Steel,
DOC_CA_PSKUs,,Sub Floor Repair,
DOC_CA_PSKUs,,Threshold Width,
DOC_CA_PSKUs,,Tile Repair,
DOC_CA_PSKUs,,Travel to Install 120+ Miles,
DOC_CA_PSKUs,1029070000,Spectra Versa Polished Chrome,
DOC_CA_PSKUs,1029070000,Spectra Versa Polished Chrome Tub,
DOC_CA_PSKUs,1029072430,Spectra Versa Matte Black,
DOC_CA_PSKUs,1029072430,Spectra Versa Matte Black Tub,
DOC_CA_PSKUs,1029072780,Spectra Versa Legacy Bronze,
DOC_CA_PSKUs,1029072780,Spectra Versa Legacy Bronze Tub,
DOC_CA_PSKUs,1029072950,Spectra Versa Brushed Nickel,
DOC_CA_PSKUs,1029072950,Spectra Versa Brushed Nickel Tub,
DOC_CA_PSKUs,1053430A00,Ultra-Low Wide Beige,
DOC_CA_PSKUs,1053440A00,Deep Step Extra-Wide Beige,
DOC_CA_PSKUs,1053450A00,Deep Step Wide Beige,
DOC_CA_PSKUs,1053460A00,Wide Beige,
DOC_CA_PSKUs,1053670200,Medium White,
DOC_CA_PSKUs,1053680A00,Combo Wide Beige,
DOC_CA_PSKUs,1053690200,Wide White a,
DOC_CA_PSKUs,1053700200,Wide White,
DOC_CA_PSKUs,1053710200,Deep Step Extra Wide White,
DOC_CA_PSKUs,1053720200,Ultra-Low Wide White,
DOC_CA_PSKUs,1053730200,Narrow White,
DOC_CA_PSKUs,1053740200,Combo Wide White,
DOC_CA_PSKUs,1053750A00,Narrow Beige,
DOC_CA_PSKUs,1053760A00,Medium Beige,
DOC_CA_PSKUs,2390202.02,Princeton Americast 6030 LH White,
DOC_CA_PSKUs,2390202.222,Princeton Americast 6030 LH Linen,
DOC_CA_PSKUs,2391202.02,Princeton Americast 6030 RH White,
DOC_CA_PSKUs,2391202.222,Princeton Americast 6030 RH Linen,
DOC_CA_PSKUs,2460002.02,Cambridge Americast 6032 LH White,
DOC_CA_PSKUs,2460002.222,Cambridge Americast 6032 LH Linen,
DOC_CA_PSKUs,2461002.02,Cambridge Americast 6032 RH White,
DOC_CA_PSKUs,2461002.222,Cambridge Americast 6032 RH Linen,
DOC_CA_PSKUs,2848.D09.CLL,2848.D09.CLL,
DOC_CA_PSKUs,2848.D09.CLW,2848.D0A.CLW,
DOC_CA_PSKUs,2848.D09.CRL,2848.D09.CRL,
DOC_CA_PSKUs,2848.D09.CRW,2848.D09.CRW,
DOC_CA_PSKUs,2848.D1A.CLL,2848.D1A.CLL,
DOC_CA_PSKUs,2848.D1A.CLW,2848.D1A.CLW,
DOC_CA_PSKUs,2848.D1A.CRL,2848.D1A.CRL,
DOC_CA_PSKUs,2848.D1A.CRW,2848.D1A.CRW,
DOC_CA_PSKUs,2848.D1B.SLW,2848.D1B.SLW,
DOC_CA_PSKUs,2848.D1B.SRW,2848.D1B.SRW,
DOC_CA_PSKUs,3051.D1A.CLL,3051.D1A.CLL,
DOC_CA_PSKUs,3051.D1A.CLW,3051.D1A.CLW,
DOC_CA_PSKUs,3051.D1A.CRL,3051.D1A.CRL,
DOC_CA_PSKUs,3051.D1A.CRW,3051.D1A.CRW,
DOC_CA_PSKUs,3051.D1B.SLL,3051.D1B.SLL,
DOC_CA_PSKUs,3051.D1B.SLW,3051.D1B.SLW,
DOC_CA_PSKUs,3051.D1B.SRW,3051.D1B.SRW,
DOC_CA_PSKUs,3052.D09.CLL,3052.109.CLL,
DOC_CA_PSKUs,3052.D09.CLW,3052.109.CLW,
DOC_CA_PSKUs,3052.D09.CRL,3052.109.CRL,
DOC_CA_PSKUs,3052.D09.CRW,3052.109.CRW,
DOC_CA_PSKUs,3052OD.D09.CLW-PC,3052OD.D09.CLW-PC,
DOC_CA_PSKUs,3052OD.D09.CRL-PC,3052OD.D09.CRL-PC,
DOC_CA_PSKUs,3052OD.D09.CRW-PC,3052OD.D09.CRW-PC,
DOC_CA_PSKUs,3052OD.D09.SLW-PC,3052 D1A CRW.222,
DOC_CA_PSKUs,3052OD.D0A.CLL,3052OD.D0A.CLL,
DOC_CA_PSKUs,3052OD.D0A.CLW,3052OD.D0A.CLW,
DOC_CA_PSKUs,3052OD.D0A.CRL,3052OD.D0A.CRL,
DOC_CA_PSKUs,3052OD.D0A.CRW,3052OD.D0A.CRW,
DOC_CA_PSKUs,3252OD.D09.CLL,3252OD.D0A.CLL,
DOC_CA_PSKUs,3252OD.D09.CLW,3252OD.D0A.CLW,
DOC_CA_PSKUs,3252OD.D09.CRL,3252OD.D0A.CRL,
DOC_CA_PSKUs,3252OD.D09.CRW,3252OD.D0A.CRW,
DOC_CA_PSKUs,3252OD.D09.SRW-PC,3252OD 709 CRW.222,
DOC_CA_PSKUs,3252OD.D0A.CLL,3252OD.D09.CLL-PC,
DOC_CA_PSKUs,3252OD.D0A.CLW,3252OD.D09.CLW-PC,
DOC_CA_PSKUs,3252OD.D0A.CRL,3252OD.D09.CRL-PC,
DOC_CA_PSKUs,3252OD.D0A.CRW,3252OD.D09.CRW-PC,
DOC_CA_PSKUs,3260.D1A.CLL,3260.D1A.CLL,
DOC_CA_PSKUs,3260.D1A.CLW,3260.D1A.CLW,
DOC_CA_PSKUs,3260.D1A.CRL,3260.D1A.CRL,
DOC_CA_PSKUs,3260.D1A.CRW,3260.D1A.CRW,
DOC_CA_PSKUs,3260.D1B.CRW,3052.D09.CRW,
DOC_CA_PSKUs,3260.D1B.SLW,3260.D1B.SLW,
DOC_CA_PSKUs,3478128ST.020,White Toilet,
DOC_CA_PSKUs,3478128ST.222,Linen Toilet,
DOC_CA_PSKUs,7018201.002,Edgemere® 4-Inch Centerset Faucet,
DOC_CA_PSKUs,7018201.243,Edgemere® 4-Inch Centerset Faucet MB,
DOC_CA_PSKUs,7018201.295,Edgemere® 4-Inch Centerset Faucet BN,
DOC_CA_PSKUs,7105024.002,Studio Towel Bar Chrome,
DOC_CA_PSKUs,7105024.243,Studio Towel Bar Matte Black,
DOC_CA_PSKUs,7105024.295,Studio Towel Bar Brushed Nickel,
DOC_CA_PSKUs,7105121.002,Studio Monoblock Faucet,
DOC_CA_PSKUs,7105121.243,Studio Monoblock Faucet MB,
DOC_CA_PSKUs,7105121.295,Studio Monoblock Faucet BN,
DOC_CA_PSKUs,7105190.002,Studio S Towel Ring Chrome,
DOC_CA_PSKUs,7105190.243,Studio Towel Ring MB,
DOC_CA_PSKUs,7105190.295,Studio Towel Ring Brushed Nickel,
DOC_CA_PSKUs,7105210.002,Studio Robe Hook Chrome,
DOC_CA_PSKUs,7105210.243,Studio Robe Hook MB,
DOC_CA_PSKUs,7105210.295,Studio Robe Hook Brushed Nickel,
DOC_CA_PSKUs,7105230.002,Studio Toilet Paper Holder Chrome,
DOC_CA_PSKUs,7105230.243,Studio Toilet Paper Holder MB,
DOC_CA_PSKUs,7105230.295,Studio Toilet Paper Holder BN,
DOC_CA_PSKUs,7105801.002,Studio S 8-Inch Widspread Faucet CH,
DOC_CA_PSKUs,7105801.243,Studio S 8-inch Widespread MB,
DOC_CA_PSKUs,7105801.295,Studio S 8-Inch Widespread Faucet,
DOC_CA_PSKUs,7353024.002,Townsend Towel Bar Chrome,
DOC_CA_PSKUs,7353024.243,Townsend Towel Bar MB,
DOC_CA_PSKUs,7353024.295,Townsend Towel Bar BN,
DOC_CA_PSKUs,7353101.002,Townsend Single hole Faucet CH,
DOC_CA_PSKUs,7353101.243,Townsend Single Hole Faucet MB,
DOC_CA_PSKUs,7353101.295,Townsend Single Hole Faucet BN,
DOC_CA_PSKUs,7353190.002,Townsend Towel Ring CH,
DOC_CA_PSKUs,7353190.243,Townsend Towel Ring MB,
DOC_CA_PSKUs,7353190.295,Townsend Towel Ring BN,
DOC_CA_PSKUs,7353210.002,Townsend Robe Hook CH,
DOC_CA_PSKUs,7353210.243,Townsend Robe Hook MB,
DOC_CA_PSKUs,7353210.295,Townsend Robe Hook BN,
DOC_CA_PSKUs,7353230.002,Townsend Toilet Paper Holder CH,
DOC_CA_PSKUs,7353230.243,Townsend Toilet Paper Holder MB,
DOC_CA_PSKUs,7353230.295,Townsend Toilet Paper Holder BN,
DOC_CA_PSKUs,7353801.002,Townsend 8-inch Widspread CH,
DOC_CA_PSKUs,7353801.243,Townsend 8-inch Widespread MB,
DOC_CA_PSKUs,7353801.295,Townsend 8-inch Widespread BN,
DOC_CA_PSKUs,7617024.002,Glenmere Towel Bar CH,
DOC_CA_PSKUs,7617024.243,Glenmere Towel Bar MB,
DOC_CA_PSKUs,7617024.295,Glenmere Towel Bar BN,
DOC_CA_PSKUs,7617107.002,Glenmere Single Hole CH,
DOC_CA_PSKUs,7617107.243,Glenmere Single Hole MB,
DOC_CA_PSKUs,7617107.295,Glenmere Single Hole BN,
DOC_CA_PSKUs,7617190.002,Glenmere Towel Ring CH,
DOC_CA_PSKUs,7617190.243,Glenmere Towel Rin MB,
DOC_CA_PSKUs,7617190.295,Glenmere Towel Ring BN,
DOC_CA_PSKUs,7617210.002,Glenmere Robe Hook CH,
DOC_CA_PSKUs,7617210.243,Glenmere Robe Hook MB,
DOC_CA_PSKUs,7617210.295,Glenmere Robe Hook BN,
DOC_CA_PSKUs,7617230.002,Glenmere Toilet Paper Holder CH,
DOC_CA_PSKUs,7617230.243,Glenmere Toilet Paper Holder MB,
DOC_CA_PSKUs,7617230.295,Glenmere Toilet Paper Holder BN,
DOC_CA_PSKUs,7617807.002,Glenmere Widespread CH,
DOC_CA_PSKUs,7617807.243,Glenmere Widespread MB,
DOC_CA_PSKUs,7617807.295,Glenmere Widespread BN,
DOC_CA_PSKUs,7B2100-949.NA0000N,Custom Solid Surface Shower Base,
DOC_CA_PSKUs,7B4048-240.WH6036C,60 x 36 Shower Base Center Drain White,
DOC_CA_PSKUs,7B4051-240.GR6036C,60 x 36 Shower Base Center Drain Grey,
DOC_CA_PSKUs,7B4052-240.WH4832C,48 x 32 - Shower Base Center Drain - White,
DOC_CA_PSKUs,7B4054-240.CE4832C,48 x 32 - Center - Linen,
DOC_CA_PSKUs,7B4055-240.GR4832C,48 x 32 Shower Base Center Drain Grey,
DOC_CA_PSKUs,7B4056-240.WH4836C,48 x 36 Shower Base Center Drain White,
DOC_CA_PSKUs,7B4058-240.CE4836C,48 x 36 Shower Base Center Drain Linen,
DOC_CA_PSKUs,7B4059-240.GR4836C,48 x 36 Shower Base Center Drain Grey,
DOC_CA_PSKUs,7B4060-240.WH4834C,48 x 34 Ultra Low Base Center Drain White,
DOC_CA_PSKUs,7B4063-240.WH3636C,36 x 36 Ultra Low Base Center Drain White,
DOC_CA_PSKUs,7B4066-240.WH6032C,60 x 32 Shower Base Center Drain White,
DOC_CA_PSKUs,7B4070-240.LN3636C,36 x 36 Ultra Low Base Center Drain Biscuit,
DOC_CA_PSKUs,7B4071-240.LN4834C,48 x 34 Ultra Low Base Center Drain Biscuit,
DOC_CA_PSKUs,7B4072-240.LN6030R,60 x 30 x 2.6 Ultra Low Bases RH Biscuit,
DOC_CA_PSKUs,7B4073-240.LN6030L,60 x 30 x 2.6 Ultra Low Bases LH Biscuit,
DOC_CA_PSKUs,7B4074-240.LN6032R,60 x 32 x 2.6 Ultra Low Bases RH Biscuit,
DOC_CA_PSKUs,7B4075-240.LN6032L,60 x 32 x 2.6 Ultra Low Bases LH Biscuit,
DOC_CA_PSKUs,7B4076-240.LN6036C,60 x 36 Shower Base Center Drain Linen,
DOC_CA_PSKUs,7B5000-240.WH6030L,60 x 30 x 2.6 Ultra Low Bases LH White,
DOC_CA_PSKUs,7B5002-240.GR6030L,60 x 30 x 2.6 Ultra Low Bases LH Grey,
DOC_CA_PSKUs,7B5003-240.WH6030R,60 x 30 x 2.6 Ultra Low Bases RH White,
DOC_CA_PSKUs,7B5006-240.WH6032L,60 x 32 x 2.6 Ultra Low Bases LH White,
