Source,ColA,ColB,ColC,ColD,ColE,ColF,ColG,ColH
DOC_CA_PSKUs,DOC_CA_PSKUs_organized,,,,,,,
DOC_CA_PSKUs,,Walk In Tub,,,,,,
DOC_CA_PSKUs,2848.D1A.CRL,Liberation 2848 Linen,2848.D1A.CRL,26645,Walk In Tub,,,
DOC_CA_PSKUs,2848.D1A.CRW,Liberation 2848 White,2848.D1A.CRW,26645,Walk In Tub,,,
DOC_CA_PSKUs,,Toilet,,,,,,
DOC_CA_PSKUs,,Installation,,,,,,
DOC_CA_PSKUs,,2d. Garden Tub/Corner Tub,2nd Home Service Call,2822,Installation,,,
DOC_CA_PSKUs,,3h. Additional Tub Extension Kit,Additional Tub Extension Kit,197,Installation,,,
DOC_CA_PSKUs,,"1d. Back Wall Shelf for Over 34"" Tub","Back Wall Shelf For Over 34"" Tub",559,Installation,,,
DOC_CA_PSKUs,,2c. Backsplash For Garden Tubs,"Backsplash For Garden Tubs (Approx. 12"" High)",628,Installation,,,
DOC_CA_PSKUs,,3i. Add GFCI for Bidet,Bidet Seat With GCFI Next to Toilet (Second Bidet),405,Installation,,,
DOC_CA_PSKUs,,1f. Build Full Wall,Build Full Wall,1072,Installation,,,
DOC_CA_PSKUs,,1e. Half Wall Construction (pony wall),Build Pony Wall,554,Installation,,,
DOC_CA_PSKUs,,2j. Electrical Conduit,"Conduit - Exterior Panels, Condos w/No Attic/Crawlspace Access",628,Installation,,,
DOC_CA_PSKUs,,2h. Electrical Panel Upgrade,"Electrical Panel Upgrade (Federal Pacific Stab Lok, Zinsco, GTE/Sylvania or Push Matic)",2783,Installation,,,
DOC_CA_PSKUs,,1b. Enlarging Bathroom Door,"Enlarging Bathroom Door (Including 32"" Door and Frame)",1156,Installation,,,
DOC_CA_PSKUs,,3e. Walk In Tub Shower Package,Furr Out Wall,429,Installation,,,
DOC_CA_PSKUs,,3f. Shower Glide Bar,Installation,204,Installation,,,
DOC_CA_PSKUs,,3d. Large Tile Repair,Large Tile Repair,978,Installation,,,
DOC_CA_PSKUs,,3c. Mid-Size Tile Repair,Mid-Size Tile Repair 11-24 sq. ft. (Customer To Furnish Tile),656,Installation,,,
DOC_CA_PSKUs,,2g. New Electric Sub Panel,New Sub Panel,853,Installation,,,
DOC_CA_PSKUs,,2i. New/Upgraded Electrical Service with Meter (Fuse Box),New/Upgraded Electrical Service with Meter (Fuse Box),4230,Installation,,,
DOC_CA_PSKUs,,2nd Floor Install,Paint Ready Full Wall,145,Installation,,,
DOC_CA_PSKUs,,Relocate Drain and/or Plumbing,Relocate Drain and/or Plumbing,586,Installation,,,
DOC_CA_PSKUs,,"1c. Relocate Existing Electrical Switch, Outlet or Light","Relocate Existing Electrical Switch, Outlet or Light",351,Installation,,,
DOC_CA_PSKUs,,1a. Remove & Reinstall Door & Frame,Remove & Reinstall 3rd Door,527,Installation,,,
DOC_CA_PSKUs,,Remove and Reinstall Door and Frame,Remove and Reinstall Door and Frame,170,Installation,,,
DOC_CA_PSKUs,,2f. Condo Installation,Remove and Replace Existing Toilet,756,Installation,,,
DOC_CA_PSKUs,,2b. Remove and Replace Vanity w/New or Same,Remove and Replace Vanity w/New or Same (Customer Provided),556,Installation,,,
DOC_CA_PSKUs,,1h. Reverse Plumbing/Relocate Drain,Reverse Plumbing/Relocate Drain,586,Installation,,,
DOC_CA_PSKUs,,3g. Shower Curtain and Rod,Shower Curtain and Rod,266,Installation,,,
DOC_CA_PSKUs,,Solid Surface Back Shelf,Solid Surface Back Shelf,650,Installation,,,
DOC_CA_PSKUs,,3a. Sub Floor Repair,Sub Floor Repair,433,Installation,,,
DOC_CA_PSKUs,,3b. Small Tile Repair,Tile Repair,394,Installation,,,
DOC_CA_PSKUs,,1i. Remove and Replace Existing Toilet,Travel to Install 120+ Miles,187,Installation,,,
DOC_CA_PSKUs,,Trim,,,,,,
DOC_CA_PSKUs,,Seats,,,,,,
DOC_CA_PSKUs,,Seat Pad,,,,,,
DOC_CA_PSKUs,,Storage Pod,,,,,,
DOC_CA_PSKUs,,L Shaped Grab Bar,,,,,,
DOC_CA_PSKUs,,Grab Bar,,,,,,
DOC_CA_PSKUs,,"Townsend 24"" Safety Bar MB",24in - Townsend - MB,298,Grab Bar,,,
DOC_CA_PSKUs,,Replacement Tub,,,,,,
DOC_CA_PSKUs,2460002.222,Cambridge 6032 Linen,Cambridge Americast 6032 LH Linen,0,Replacement Tub,,,
DOC_CA_PSKUs,2460002.02,Cambridge 6032 White,Cambridge Americast 6032 LH White,0,Replacement Tub,,,
DOC_CA_PSKUs,2461002.222,Cambridge 6032 Linen,Cambridge Americast 6032 RH Linen,0,Replacement Tub,,,
DOC_CA_PSKUs,2461002.02,Cambridge 6032 White,Cambridge Americast 6032 RH White,0,Replacement Tub,,,
DOC_CA_PSKUs,2390202.222,Princeton 6030 Linen,Princeton Americast 6030 LH Linen,0,Replacement Tub,,,
DOC_CA_PSKUs,2390202.02,Princeton 6030 White,Princeton Americast 6030 LH White,0,Replacement Tub,,,
DOC_CA_PSKUs,2391202.222,Princeton 6030 Linen,Princeton Americast 6030 RH Linen,0,Replacement Tub,,,
DOC_CA_PSKUs,2391202.02,Princeton 6030 White,Princeton Americast 6030 RH White,0,Replacement Tub,,,
DOC_CA_PSKUs,,Safety Tub Step,,,,,,
DOC_CA_PSKUs,1053680A00,Combo Wide Beige,Combo Wide Beige,1865,Safety Tub Step,,,
DOC_CA_PSKUs,1053740200,Combo Wide White,Combo Wide White,1865,Safety Tub Step,,,
DOC_CA_PSKUs,1053710200,Deep Step Extra-Wide White,Deep Step Extra Wide White,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053440A00,Deep Step Extra-Wide Beige,Deep Step Extra-Wide Beige,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053450A00,Deep Step Wide Beige,Deep Step Wide Beige,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053760A00,Medium Beige,Medium Beige,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053670200,Medium White,Medium White,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053750A00,Narrow Beige,Narrow Beige,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053730200,Narrow White,Narrow White,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053430A00,Ultra-Low Wide Beige,Ultra-Low Wide Beige,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053720200,Ultra-Low Wide White,Ultra-Low Wide White,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053460A00,Wide Beige,Wide Beige,1535,Safety Tub Step,,,
DOC_CA_PSKUs,1053700200,Deep Step Wide White,Wide White,1645,Safety Tub Step,,,
DOC_CA_PSKUs,1053690200,Wide White,Wide White a,1535,Safety Tub Step,,,
DOC_CA_PSKUs,,Shower Body,,,,,,
DOC_CA_PSKUs,,"48""",Custom 48in,0,Shower Body,,,
DOC_CA_PSKUs,,Custom,Custom B 60in 15X4,0,Shower Body,,,
